epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.51977,0.8116,0.41558,1,0.7361,6.668e-05,6.668e-05,6.668e-05
2,5.15295,0.70118,0.67532,1,0.61549,0.000144089,0.000144089,0.000144089
3,7.5967,0.58465,0.68831,1,0.52161,0.000214896,0.000214896,0.000214896
4,9.83017,0.54326,0.68831,1,0.44821,0.000279102,0.000279102,0.000279102
5,12.1188,0.49388,0.72727,1,0.3746,0.000336707,0.000336707,0.000336707
6,14.3115,0.45164,0.85714,1,0.31246,0.000387711,0.000387711,0.000387711
7,16.6108,0.37118,0.93506,1,0.25879,0.000432113,0.000432113,0.000432113
8,18.9188,0.35763,0.94805,1,0.22581,0.000469914,0.000469914,0.000469914
9,21.2507,0.30774,0.96104,1,0.17087,0.000501114,0.000501114,0.000501114
10,23.4571,0.287,0.96104,1,0.14425,0.000525712,0.000525712,0.000525712
11,25.589,0.2111,0.97403,1,0.10401,0.000543709,0.000543709,0.000543709
12,27.7029,0.20613,1,1,0.09618,0.000555104,0.000555104,0.000555104
13,29.7806,0.19559,1,1,0.08368,0.000559899,0.000559899,0.000559899
14,31.9158,0.13981,1,1,0.07365,0.000558092,0.000558092,0.000558092
15,34.0491,0.15662,1,1,0.04895,0.000549683,0.000549683,0.000549683
16,36.1376,0.13793,1,1,0.04574,0.000534674,0.000534674,0.000534674
17,38.4035,0.10111,1,1,0.04231,0.000513063,0.000513063,0.000513063
18,40.5446,0.1312,1,1,0.03035,0.00048485,0.00048485,0.00048485
19,42.8904,0.10035,1,1,0.02543,0.000450037,0.000450037,0.000450037
20,45.0459,0.11154,1,1,0.02143,0.000408622,0.000408622,0.000408622
21,47.2627,0.08129,1,1,0.01607,0.000346736,0.000346736,0.000346736
22,49.3893,0.07098,1,1,0.01552,0.000280723,0.000280723,0.000280723
23,51.4964,0.08708,1,1,0.01472,0.00021471,0.00021471,0.00021471
24,53.6228,0.09477,1,1,0.01153,0.000148696,0.000148696,0.000148696
25,55.7037,0.07355,1,1,0.01403,8.26832e-05,8.26832e-05,8.26832e-05
